RUN	petApp.Journey	journey	1593606371309	 	3.3.1
USER	Add a new pet to the store	1	START	1593606373386	1593606373386
USER	Add a new pet to the store	2	START	1593606373886	1593606373886
USER	Add a new pet to the store	3	START	1593606374385	1593606374385
REQUEST	1		Add a new pet to the storehttps://petstore.swagger.io	1593606373477	1593606374347	OK	 
REQUEST	1		Verify pet to the store as per statushttps://petstore.swagger.io	1593606374484	1593606374688	OK	 
REQUEST	2		Add a new pet to the storehttps://petstore.swagger.io	1593606373889	1593606374707	OK	 
USER	Add a new pet to the store	1	END	1593606373386	1593606374718
USER	Add a new pet to the store	4	START	1593606374884	1593606374884
REQUEST	2		Verify pet to the store as per statushttps://petstore.swagger.io	1593606374722	1593606374925	OK	 
USER	Add a new pet to the store	2	END	1593606373886	1593606374927
REQUEST	3		Add a new pet to the storehttps://petstore.swagger.io	1593606374387	1593606375176	OK	 
REQUEST	3		Verify pet to the store as per statushttps://petstore.swagger.io	1593606375183	1593606375382	OK	 
USER	Add a new pet to the store	3	END	1593606374385	1593606375387
USER	Add a new pet to the store	5	START	1593606375388	1593606375388
REQUEST	4		Add a new pet to the storehttps://petstore.swagger.io	1593606374886	1593606375693	OK	 
USER	Add a new pet to the store	6	START	1593606375868	1593606375868
REQUEST	4		Verify pet to the store as per statushttps://petstore.swagger.io	1593606375696	1593606375897	OK	 
USER	Add a new pet to the store	4	END	1593606374884	1593606375903
REQUEST	5		Add a new pet to the storehttps://petstore.swagger.io	1593606375392	1593606376232	OK	 
USER	Add a new pet to the store	7	START	1593606376366	1593606376366
REQUEST	5		Verify pet to the store as per statushttps://petstore.swagger.io	1593606376238	1593606376441	OK	 
USER	Add a new pet to the store	5	END	1593606375388	1593606376465
REQUEST	6		Add a new pet to the storehttps://petstore.swagger.io	1593606375871	1593606376679	OK	 
USER	Add a new pet to the store	8	START	1593606376854	1593606376854
REQUEST	6		Verify pet to the store as per statushttps://petstore.swagger.io	1593606376681	1593606376891	OK	 
USER	Add a new pet to the store	6	END	1593606375868	1593606376896
REQUEST	7		Add a new pet to the storehttps://petstore.swagger.io	1593606376373	1593606377205	OK	 
USER	Add a new pet to the store	9	START	1593606377354	1593606377354
REQUEST	7		Verify pet to the store as per statushttps://petstore.swagger.io	1593606377211	1593606377416	OK	 
USER	Add a new pet to the store	7	END	1593606376366	1593606377421
REQUEST	8		Add a new pet to the storehttps://petstore.swagger.io	1593606376857	1593606377656	OK	 
USER	Add a new pet to the store	10	START	1593606377866	1593606377866
REQUEST	8		Verify pet to the store as per statushttps://petstore.swagger.io	1593606377662	1593606377895	OK	 
USER	Add a new pet to the store	8	END	1593606376854	1593606377900
USER	Add a new pet to the store	11	START	1593606378366	1593606378366
REQUEST	10		Add a new pet to the storehttps://petstore.swagger.io	1593606377868	1593606378685	OK	 
REQUEST	9		Add a new pet to the storehttps://petstore.swagger.io	1593606377358	1593606378765	OK	 
USER	Add a new pet to the store	12	START	1593606378867	1593606378867
REQUEST	10		Verify pet to the store as per statushttps://petstore.swagger.io	1593606378688	1593606378891	OK	 
USER	Add a new pet to the store	10	END	1593606377866	1593606378896
REQUEST	9		Verify pet to the store as per statushttps://petstore.swagger.io	1593606378768	1593606378971	OK	 
USER	Add a new pet to the store	9	END	1593606377354	1593606378976
REQUEST	11		Add a new pet to the storehttps://petstore.swagger.io	1593606378371	1593606379203	OK	 
USER	Add a new pet to the store	13	START	1593606379365	1593606379365
REQUEST	11		Verify pet to the store as per statushttps://petstore.swagger.io	1593606379207	1593606379406	OK	 
USER	Add a new pet to the store	11	END	1593606378366	1593606379411
REQUEST	12		Add a new pet to the storehttps://petstore.swagger.io	1593606378870	1593606379677	OK	 
USER	Add a new pet to the store	14	START	1593606379864	1593606379864
REQUEST	12		Verify pet to the store as per statushttps://petstore.swagger.io	1593606379682	1593606379882	OK	 
USER	Add a new pet to the store	12	END	1593606378867	1593606379885
REQUEST	13		Add a new pet to the storehttps://petstore.swagger.io	1593606379368	1593606380176	OK	 
USER	Add a new pet to the store	15	START	1593606380365	1593606380365
REQUEST	13		Verify pet to the store as per statushttps://petstore.swagger.io	1593606380182	1593606380388	OK	 
USER	Add a new pet to the store	13	END	1593606379365	1593606380394
REQUEST	14		Add a new pet to the storehttps://petstore.swagger.io	1593606379866	1593606380679	OK	 
USER	Add a new pet to the store	16	START	1593606380855	1593606380855
REQUEST	14		Verify pet to the store as per statushttps://petstore.swagger.io	1593606380682	1593606380883	OK	 
USER	Add a new pet to the store	14	END	1593606379864	1593606380886
REQUEST	15		Add a new pet to the storehttps://petstore.swagger.io	1593606380368	1593606381192	OK	 
USER	Add a new pet to the store	17	START	1593606381354	1593606381354
REQUEST	15		Verify pet to the store as per statushttps://petstore.swagger.io	1593606381197	1593606381394	OK	 
USER	Add a new pet to the store	15	END	1593606380365	1593606381397
REQUEST	16		Add a new pet to the storehttps://petstore.swagger.io	1593606380859	1593606381663	OK	 
REQUEST	16		Verify pet to the store as per statushttps://petstore.swagger.io	1593606381666	1593606381862	OK	 
USER	Add a new pet to the store	16	END	1593606380855	1593606381864
USER	Add a new pet to the store	18	START	1593606381868	1593606381868
REQUEST	17		Add a new pet to the storehttps://petstore.swagger.io	1593606381356	1593606382155	OK	 
REQUEST	17		Verify pet to the store as per statushttps://petstore.swagger.io	1593606382157	1593606382352	OK	 
USER	Add a new pet to the store	17	END	1593606381354	1593606382355
USER	Add a new pet to the store	19	START	1593606382370	1593606382370
REQUEST	18		Add a new pet to the storehttps://petstore.swagger.io	1593606381870	1593606382696	OK	 
USER	Add a new pet to the store	20	START	1593606382864	1593606382864
REQUEST	18		Verify pet to the store as per statushttps://petstore.swagger.io	1593606382699	1593606382908	OK	 
USER	Add a new pet to the store	18	END	1593606381868	1593606382913
REQUEST	19		Add a new pet to the storehttps://petstore.swagger.io	1593606382372	1593606383187	OK	 
USER	Add a new pet to the store	21	START	1593606383364	1593606383364
REQUEST	19		Verify pet to the store as per statushttps://petstore.swagger.io	1593606383190	1593606383393	OK	 
USER	Add a new pet to the store	19	END	1593606382370	1593606383397
REQUEST	20		Add a new pet to the storehttps://petstore.swagger.io	1593606382865	1593606383643	OK	 
REQUEST	20		Verify pet to the store as per statushttps://petstore.swagger.io	1593606383646	1593606383837	OK	 
